timestamp,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,T2M,RH2M,WS10M,WD10M,PS,PRECTOTCORR,solar_zenith,solar_azimuth,poa_global,cell_temperature,dc_power_w,ac_power_w,PV_Power_kW
2020-05-27 15:00:00+00:00,499.77,446.74,203.67,46.53,7.96,4.27,279.0,97.2,0.0,105.59306716735165,305.76646480616796,199.06237830840058,50.202276878701575,894.9753880567799,728.3403957089714,0.7283403957089715
2020-05-27 16:00:00+00:00,313.52,279.73,176.31,45.56,7.92,4.46,276.8,97.18,0.0,115.54111156482534,316.2400058645237,170.57852888433735,48.63313262766703,772.2665444905692,625.2765922774718,0.6252765922774718
2020-05-27 17:00:00+00:00,133.07,122.93,101.15,43.85,8.37,3.61,278.1,97.18,0.0,123.51772558948957,329.4271354955997,97.17709498612305,45.80557258224845,445.44897286929853,350.3730070186699,0.3503730070186699
2020-05-27 18:00:00+00:00,12.52,1.01,16.04,39.41,11.15,2.51,282.9,97.24,0.0,128.58443358428553,345.5400557092288,15.284426711904374,39.77246162320373,71.90636141883633,35.4403501679426,0.0354403501679426
2020-05-27 19:00:00+00:00,0.0,0.0,0.0,38.69,11.44,1.97,288.3,97.33,0.0,129.8446226863739,3.5059203796624843,0.0,38.69,0.0,0.0,0.0
2020-05-27 20:00:00+00:00,0.0,0.0,0.0,38.92,11.31,1.02,288.3,97.4,0.0,127.02457031188848,20.981495570094694,0.0,38.92,0.0,0.0,0.0
2020-05-27 21:00:00+00:00,0.0,0.0,0.0,38.43,11.69,0.29,287.8,97.48,0.0,120.70671414027227,35.99357918322414,0.0,38.43,0.0,0.0,0.0
2020-05-27 22:00:00+00:00,0.0,0.0,0.0,36.29,13.68,1.36,56.1,97.53,0.0,111.86382454662386,48.05375242002765,0.0,36.29,0.0,0.0,0.0
2020-05-27 23:00:00+00:00,0.0,0.0,0.0,33.88,17.65,4.32,67.2,97.6,0.0,101.35283293043216,57.64370500579781,0.0,33.88,0.0,0.0,0.0
2020-05-28 00:00:00+00:00,0.0,0.0,0.0,33.45,27.45,9.37,77.9,97.65,0.15,89.330275590089,65.46541964336274,0.0,33.45,0.0,0.0,0.0
2020-05-28 01:00:00+00:00,0.0,0.0,0.0,31.24,36.75,9.96,88.1,97.65,0.15,77.4185729433016,72.14040651568348,0.0,31.24,0.0,0.0,0.0
2020-05-28 02:00:00+00:00,0.0,0.0,0.0,30.52,38.2,8.33,94.0,97.61,0.15,64.72819182538959,78.19175817147544,0.0,30.52,0.0,0.0,0.0
2020-05-28 03:00:00+00:00,0.0,0.0,0.0,30.15,38.9,7.12,95.9,97.59,0.0,51.73494332938168,84.14373735786188,0.0,30.15,0.0,0.0,0.0
2020-05-28 04:00:00+00:00,0.0,0.0,0.0,29.91,39.46,6.45,101.4,97.64,0.0,38.594509327717496,90.76644135059428,0.0,29.91,0.0,0.0,0.0
2020-05-28 05:00:00+00:00,31.12,12.77,27.79,30.05,39.9,5.63,106.8,97.7,0.0,25.493815438363725,99.93837520730102,37.24162844234718,30.636397379314293,182.00996987265904,128.34888352400344,0.12834888352400345
2020-05-28 06:00:00+00:00,109.3,56.09,90.04,31.86,37.03,6.17,113.7,97.77,0.0,13.045993607553825,120.10110267639362,137.59694670380998,33.907488299651355,663.4718696624111,533.8294625867733,0.5338294625867733
2020-05-28 07:00:00+00:00,211.48,136.66,160.56,34.86,31.29,7.47,129.0,97.81,0.0,7.530579917888289,200.85645039093512,281.7375124816218,38.56245420819322,1332.266520172864,1094.9437963996877,1.0949437963996878
2020-05-28 08:00:00+00:00,423.98,50.56,319.22,37.6,25.67,7.43,140.2,97.83,0.0,17.631405317468804,250.43740707370222,351.6928605728631,42.238450203542854,1637.2115055857785,1349.9664343026757,1.3499664343026756
2020-05-28 09:00:00+00:00,571.38,179.16,380.61,39.44,22.4,6.9,143.7,97.81,0.0,30.484699583914477,264.17384478131794,507.3475604658157,46.46736384932428,2318.9095087573446,1918.1971791567305,1.9181971791567305
2020-05-28 10:00:00+00:00,689.92,361.88,326.89,40.92,19.84,6.34,143.1,97.75,0.0,43.62796359659492,271.9851416992109,545.0729922827072,48.89291316514018,2464.897327948059,2039.5502264005197,2.03955022640052
2020-05-28 11:00:00+00:00,855.33,376.38,353.79,42.02,18.01,5.91,141.0,97.65,0.0,56.72363645770769,278.22757640979125,506.79707071127837,49.76630062654421,2282.9555813586417,1888.2921540618242,1.8882921540618243
2020-05-28 12:00:00+00:00,887.17,506.02,339.77,42.83,16.72,5.56,138.4,97.56,0.0,69.61367174254417,284.1534436206207,434.053311562756,49.71641213704428,1955.7017470531005,1615.7657051658648,1.6157657051658647
2020-05-28 13:00:00+00:00,828.4,557.02,283.76,43.23,16.06,5.27,135.8,97.46,0.0,82.11515705139668,290.3913350836302,279.2733812342827,47.80474234905486,1268.9917560914696,1041.9630321362852,1.0419630321362852
2020-05-28 14:00:00+00:00,697.8,528.46,242.44,43.54,15.37,4.74,133.1,97.38,0.0,94.25814194673555,297.4469060913499,238.46080341923923,47.69280666890576,1084.0771188941012,887.0042682653816,0.8870042682653816
2020-05-28 15:00:00+00:00,513.92,429.52,213.67,43.35,15.04,4.22,128.9,97.32,0.0,105.46830552088188,305.87272398509197,208.68415271782598,47.224221248715786,950.6639079670947,775.0859009013748,0.7750859009013747
2020-05-28 16:00:00+00:00,286.05,258.19,159.36,42.56,15.32,4.05,122.2,97.3,0.0,115.40171539568274,316.3295624552094,154.21861933183732,45.486238460245104,707.9059084463508,571.1863361804983,0.5711863361804983
2020-05-28 17:00:00+00:00,113.05,83.53,89.68,41.31,16.16,4.26,112.7,97.31,0.0,123.36472183190591,329.4868102946375,86.08546689220658,42.900099945550785,399.60856523643497,311.7667932504719,0.3117667932504719
2020-05-28 18:00:00+00:00,9.38,0.0,10.78,38.75,18.85,3.98,98.7,97.37,0.0,128.42398763780352,345.5506356911683,10.286331472882525,38.94696861687684,48.56239451971093,15.733404975777507,0.015733404975777507
2020-05-28 19:00:00+00:00,0.0,0.0,0.0,37.76,21.18,6.89,90.7,97.44,0.0,129.68896982651202,3.455440656288829,0.0,37.76,0.0,0.0,0.0
2020-05-28 20:00:00+00:00,0.0,0.0,0.0,36.23,25.37,7.9,85.4,97.55,0.0,126.8865020098207,20.879887629991345,0.0,36.23,0.0,0.0,0.0
2020-05-28 21:00:00+00:00,0.0,0.0,0.0,34.61,30.38,7.61,82.1,97.65,0.0,120.5925002634382,35.86344902735425,0.0,34.61,0.0,0.0,0.0
2020-05-28 22:00:00+00:00,0.0,0.0,0.0,33.4,34.3,6.94,84.8,97.71,0.0,111.77307121090827,47.912220491013386,0.0,33.4,0.0,0.0,0.0
2020-05-28 23:00:00+00:00,0.0,0.0,0.0,32.37,37.11,6.09,88.6,97.72,0.0,101.28218802084587,57.497928250300845,0.0,32.37,0.0,0.0,0.0
2020-05-29 00:00:00+00:00,0.0,0.0,0.0,31.36,40.01,5.55,90.1,97.73,25.63,89.2829042960784,65.31577452933772,0.0,31.36,0.0,0.0,0.0
2020-05-29 01:00:00+00:00,0.0,0.0,0.0,30.28,43.66,5.31,90.2,97.72,25.63,77.37733242559585,71.98320239052407,0.0,30.28,0.0,0.0,0.0
2020-05-29 02:00:00+00:00,0.0,0.0,0.0,29.34,47.33,5.35,94.9,97.73,25.63,64.69658563784682,78.01979170309676,0.0,29.34,0.0,0.0,0.0
2020-05-29 03:00:00+00:00,0.0,0.0,0.0,28.74,50.08,5.38,103.0,97.76,0.0,51.70999914315207,83.94443616457914,0.0,28.74,0.0,0.0,0.0
2020-05-29 04:00:00+00:00,0.0,0.0,0.0,28.45,51.33,5.16,109.8,97.85,0.0,38.57207031945808,90.51535470254697,0.0,28.45,0.0,0.0,0.0
2020-05-29 05:00:00+00:00,36.67,0.75,33.17,28.71,50.54,5.55,115.3,97.95,0.0,25.465447337097956,99.57718718524029,32.38828640409005,29.224410063277695,159.2050039600951,109.11093542261851,0.10911093542261852
2020-05-29 06:00:00+00:00,159.43,14.21,140.33,30.74,43.94,7.29,126.0,98.07,0.0,12.98238316710922,119.46028094020761,147.41279498902253,32.70908504251762,714.3356194866009,576.5910568305543,0.5765910568305543
2020-05-29 07:00:00+00:00,332.85,108.84,273.15,33.34,36.33,9.22,138.7,98.15,0.0,7.374855553861309,201.03624765759312,363.46045821967834,37.4671933646551,1726.6756548377743,1424.6865232276189,1.424686523227619
2020-05-29 08:00:00+00:00,493.27,124.96,395.47,35.4,31.0,8.45,139.0,98.17,0.0,17.53405396061899,250.8460691362195,490.5478215102763,41.32463370504452,2292.578837532125,1896.2970933139748,1.8962970933139747
2020-05-29 09:00:00+00:00,633.7,144.79,494.2,37.24,26.87,7.45,135.4,98.15,0.0,30.40318163939117,264.43858585061434,588.144100150748,44.98301719569694,2705.662627416538,2239.4290264560095,2.2394290264560097
